"","surf","vol","dx","dy","dz","chull","rsv","l","i","s","sphe","compact","intspace","dr1","dr2","dr3","fd"
"MBE20919",347.811959578071,286.440490722656,6.78564929962158,14.0676407814026,10.7372696399689,478.257633394769,1.21425556387151,14.0676407814026,10.7372696399689,6.78564929962158,0.673011621680269,0.604174724413739,191.817142672113,0.482358727029212,0.457343454708242,0.763260151919968,2.22701037634248
"MBE20922",504.486532775026,384.013977050781,10.1203937530518,14.2400243282318,14.0813732147217,792.58979733632,1.31371919493522,14.2400243282318,14.0813732147217,10.1203937530518,0.799367265579638,0.506445327199504,408.575820285538,0.710700594309196,0.0385110049590303,0.988858789152797,2.16620345225949
"MBE21019",348.527465781984,224.65446472168,8.5219624042511,12.5352311134338,11.9248189926147,489.587740496047,1.55139345311373,12.5352311134338,11.9248189926147,8.5219624042511,0.786137226575729,0.512771428905014,264.933275774368,0.6798408682803,0.152098492538616,0.951304278692962,2.16422882827185
"MBE21022",321.743071046329,326.983764648438,8.89923453330994,13.081609249115,10.3803524971008,420.279350781876,0.983972618311056,13.081609249115,10.3803524971008,8.89923453330994,0.835495298313113,0.713387860393355,93.2955861334381,0.680285916192765,0.645866746900081,0.793507304753281,2.12254445468994
"MBE21119",686.6763053545,473.566101074219,13.8848912715912,16.3957171440125,14.3290955424309,1272.44106564437,1.45001152700092,16.3957171440125,14.3290955424309,13.8848912715912,0.936221456726683,0.427877189106301,798.874964570155,0.846860869191184,0.823084397958935,0.873953570714271,2.24114861649261
"MBE21122",461.271587437383,363.699798583984,10.0405054092407,16.8048305511475,8.3148603439331,680.591809077774,1.26827561970966,16.8048305511475,10.0405054092407,8.3148603439331,0.74274556755865,0.534182258932139,316.892010493789,0.494789895002265,0.796743095300706,0.59747733716691,2.33814060190637
"MBE21219",437.462099708893,230.726135253906,10.6353535652161,12.8220109939575,15.1730687618256,735.771412023737,1.89602317582046,15.1730687618256,12.8220109939575,10.6353535652161,0.83462508070913,0.415854640761532,505.045276769831,0.700936226689614,0.518114880727797,0.845050608761284,2.16901678102155
"MBE21222",363.46849832789,283.817779541016,8.27742624282837,11.8981261253357,16.5885148048401,643.147388415392,1.28064034224947,16.5885148048401,11.8981261253357,8.27742624282837,0.702805020762112,0.574615160073072,359.329608874377,0.498985372723858,0.564353110246376,0.71725083681778,2.2282895966644
"MBE30119",580.889009558255,432.421112060547,9.97480535507202,19.4351162910461,17.07936668396,1151.67242369495,1.34334100106777,19.4351162910461,17.07936668396,9.97480535507202,0.669242199314229,0.47606058324652,719.251311634405,0.513236206344053,0.249013972482461,0.8787890140811,2.2005892035581
"MBE30122",964.384137222357,615.139953613281,12.9514274597168,22.6193172931671,15.9307563304901,2052.49209647692,1.56774752080018,22.6193172931671,15.9307563304901,12.9514274597168,0.77500849411987,0.362702060918221,1437.35214286364,0.572582597956181,0.691832558903907,0.704298725023965,2.20350891480773
"MBE30219",762.820377361976,516.247375488281,13.9945021867752,22.0366373062134,12.8312277793884,1735.43189533134,1.47762567633487,22.0366373062134,13.9945021867752,12.8312277793884,0.811231022669536,0.407975180368648,1219.18451984306,0.582267956816196,0.873631433343954,0.635056156359635,2.13226435793298
"MBE30222",310.870561601147,298.453582763672,9.9501953125,13.9867930412292,7.94838809967041,486.805635710917,1.04160438860373,13.9867930412292,9.9501953125,7.94838809967041,0.7685452772954,0.694740138995685,188.352052947245,0.56827809464548,0.668487418084151,0.711399338159186,2.34646212984921
"MBE30319",665.045531673486,595.980773925781,11.4717702865601,16.5835580825806,11.8252387046814,1007.11377926334,1.11588420427184,16.5835580825806,11.8252387046814,11.4717702865601,0.875503225707389,0.514976697522489,411.133005337563,0.691755667235854,0.930852290387228,0.713070056847612,2.21659107769105
"MBE30322",358.669761758331,365.013549804688,7.73190259933472,14.3727083206177,11.678753554821,499.356981546495,0.982620403955549,14.3727083206177,11.678753554821,7.73190259933472,0.708836187320246,0.688644924689233,134.343431741807,0.537957246947208,0.405666854123269,0.81256456989862,2.01289042181325
"MBE30419",1067.93408121203,883.103210449219,15.5458784103394,19.8373198509216,16.5268907546997,2168.95485032357,1.2092970205247,19.8373198509216,16.5268907546997,15.5458784103394,0.90334184238817,0.41681882061515,1285.85163987435,0.783668284181903,0.771402602611945,0.833121151390412,2.21517824137078
"MBE30422",371.171281879599,269.064971923828,8.29990172386169,16.1267898082733,12.0234003067017,753.316039562092,1.37948570274944,16.1267898082733,12.0234003067017,8.29990172386169,0.708255935250371,0.543018384133183,484.251067638264,0.514665461789779,0.52426832443716,0.745554474861045,2.08523410698935
"MBE30519",451.509809283379,285.687561035156,13.0798516273499,15.383882522583,13.0301403999329,1097.92910039891,1.58043216039013,15.383882522583,13.0798516273499,13.0301403999329,0.944952125141167,0.464598520079032,812.241539363756,0.846999473689757,0.978879917668712,0.85023085740216,2.06909360104045
"MBE30522",390.230941613236,439.390747070312,10.483980178833,19.5194228887558,8.95714044570923,654.865924902281,0.888118250589356,19.5194228887558,10.483980178833,8.95714044570923,0.731894585809991,0.71624734865516,215.475177831969,0.458883466829801,0.855444148425614,0.537105028083198,2.08921958485329
"MBE30619",976.91009113545,583.403869628906,14.4758576154709,21.2144551277161,18.1034725904465,2213.84962899577,1.67450053383576,21.2144551277161,18.1034725904465,14.4758576154709,0.817143401856472,0.345628117315788,1630.44575936687,0.682358209453072,0.461666174840745,0.853355529588635,2.22107749423401
"MBE30622",810.517440519358,637.755187988281,11.0222597122192,15.4655752182007,23.9292526245117,1441.91927390885,1.27089117546191,23.9292526245117,15.4655752182007,11.0222597122192,0.689840502100756,0.442070050934366,804.164085920567,0.460618636326681,0.655743554197688,0.646304147516862,2.19094325713291
"MBE30719",666.282233286443,438.988403320312,12.9548993110657,17.8045864105225,12.9457818865776,1269.87479081877,1.51776727641774,17.8045864105225,12.9548993110657,12.9457818865776,0.899007979624521,0.419238595005255,830.886387498462,0.727103769112361,0.998123525150449,0.727615852026159,2.25332485333424
