,point,date,vwnd_mean,vwnd_median,vwnd_sd,vwnd_min,vwnd_max
26,Belle-ile 1,2023-03-15T00:00:00,0.11537028849124908,-0.6000000238418579,5.572263240814209,-14.40000057220459,15.199999809265137
27,Belle-ile 2,2019-02-20T00:00:00,0.4258333444595337,0.10000000149011612,5.233743667602539,-14.800000190734863,13.699999809265137
28,Belle-ile 2,2022-03-25T00:00:00,0.5703240036964417,0.699999988079071,4.536855697631836,-9.40000057220459,14.5
29,Belle-ile 2,2023-03-15T00:00:00,0.11537028849124908,-0.6000000238418579,5.572263240814209,-14.40000057220459,15.199999809265137
30,Belle-ile 3,2019-02-20T00:00:00,0.4258333444595337,0.10000000149011612,5.233743667602539,-14.800000190734863,13.699999809265137
31,Belle-ile 3,2022-03-25T00:00:00,0.5703240036964417,0.699999988079071,4.536855697631836,-9.40000057220459,14.5
32,Belle-ile 3,2023-03-15T00:00:00,0.11537028849124908,-0.6000000238418579,5.572263240814209,-14.40000057220459,15.199999809265137
33,Camaret 1,2019-02-22T00:00:00,1.0770833492279053,1.3000000715255737,4.605832576751709,-12.40000057220459,17.0
34,Camaret 1,2022-03-27T00:00:00,0.9942592978477478,0.6000000238418579,4.343937397003174,-8.100000381469727,14.199999809265137
35,Camaret 1,2023-03-18T00:00:00,1.299861192703247,0.6000000238418579,4.869143009185791,-11.0,14.699999809265137
36,Camaret 3,2019-02-22T00:00:00,1.082453727722168,1.3000000715255737,4.609968185424805,-12.40000057220459,17.100000381469727
37,Camaret 3,2022-03-27T00:00:00,1.0000463724136353,0.6000000238418579,4.345346927642822,-8.100000381469727,14.199999809265137
38,Camaret 3,2023-03-18T00:00:00,1.304444432258606,0.6000000238418579,4.876797676086426,-11.0,14.699999809265137
39,Molene 1,2019-02-22T00:00:00,1.036805272102356,1.600000023841858,5.7979326248168945,-16.100000381469727,18.30000114440918
40,Molene 1,2022-03-27T00:00:00,1.0269445180892944,0.699999988079071,5.297783851623535,-11.40000057220459,16.700000762939453
41,Molene 1,2023-03-19T00:00:00,1.2453703880310059,0.800000011920929,5.5330705642700195,-12.699999809265137,16.100000381469727
42,Molene 2,2019-02-22T00:00:00,1.036805272102356,1.600000023841858,5.7979326248168945,-16.100000381469727,18.30000114440918
43,Molene 2,2022-03-27T00:00:00,1.0269445180892944,0.699999988079071,5.297783851623535,-11.40000057220459,16.700000762939453
44,Molene 2,2023-03-19T00:00:00,1.2453703880310059,0.800000011920929,5.5330705642700195,-12.699999809265137,16.100000381469727
45,Morlaix 1,2019-02-12T00:00:00,1.1433334350585938,1.8000000715255737,4.451717376708984,-13.100000381469727,14.699999809265137
46,Morlaix 1,2022-03-02T00:00:00,1.1293056011199951,1.399999976158142,4.149673938751221,-11.0,11.699999809265137
47,Morlaix 1,2023-02-20T00:00:00,1.8627314567565918,1.8000000715255737,4.190716743469238,-13.40000057220459,13.600000381469727
48,Morlaix 2,2019-02-12T00:00:00,1.213287115097046,1.8000000715255737,4.185747146606445,-12.40000057220459,14.199999809265137
49,Morlaix 2,2022-03-02T00:00:00,1.1892130374908447,1.399999976158142,3.899441957473755,-10.199999809265137,11.40000057220459
50,Morlaix 2,2023-02-20T00:00:00,1.8838889598846436,1.8000000715255737,3.9375720024108887,-12.5,13.300000190734863
51,Morlaix 3,2019-02-12T00:00:00,1.213287115097046,1.8000000715255737,4.185747146606445,-12.40000057220459,14.199999809265137
