,point,date,hs_mean,hs_median,hs_sd,hs_min,hs_max
52,Morlaix 3,2022-03-02T00:00:00,0.7354426383972168,0.6640000343322754,0.37819925,0.1300000101327896,2.5920000076293945
53,Morlaix 3,2023-02-20T00:00:00,0.6378398537635803,0.5550000667572021,0.32501614,0.0560000017285347,1.9060001373291016
54,Trevignon 1,2019-02-19T00:00:00,1.0594602823257446,0.9250000715255737,0.5850117,0.15800000727176666,2.9620001316070557
55,Trevignon 1,2022-03-25T00:00:00,1.0490751266479492,0.9240000247955322,0.5510165,0.17800000309944153,2.6620001792907715
56,Trevignon 1,2023-03-16T00:00:00,1.094834327697754,0.847000002861023,0.6767234,0.17600001394748688,3.0920002460479736
57,Trevignon 2,2019-02-19T00:00:00,1.0594602823257446,0.9250000715255737,0.5850117,0.15800000727176666,2.9620001316070557
58,Trevignon 2,2022-03-25T00:00:00,1.0490751266479492,0.9240000247955322,0.5510165,0.17800000309944153,2.6620001792907715
59,Trevignon 2,2023-03-16T00:00:00,1.094834327697754,0.847000002861023,0.6767234,0.17600001394748688,3.0920002460479736
60,Meaban 2,2019-02-20T00:00:00,0.6656269431114197,0.5820000171661377,0.3845931,0.11000000685453415,2.1700000762939453
61,Meaban 2,2022-03-24T00:00:00,0.6526361703872681,0.5740000009536743,0.33971015,0.12000000476837158,1.9500000476837158
62,Meaban 2,2023-03-15T00:00:00,0.6883611083030701,0.534000039100647,0.4072529,0.1380000114440918,2.436000108718872
63,Keraliou 1,2019-02-21T00:00:00,0.17339353263378143,0.10000000149011612,0.15891042,0.014000000432133675,0.7780000567436218
64,Keraliou 1,2022-04-15T00:00:00,0.16325649619102478,0.11000000685453415,0.1532688,0.010000000707805157,0.8700000643730164
65,Keraliou 1,2023-03-18T00:00:00,0.22176483273506165,0.1470000147819519,0.1918327,0.012000000104308128,0.9480000734329224
66,Keraliou 2,2019-02-21T00:00:00,0.18726760149002075,0.11400000751018524,0.16503683,0.01600000075995922,0.8100000619888306
67,Keraliou 2,2022-04-15T00:00:00,0.17284353077411652,0.11700000613927841,0.15934803,0.012000000104308128,0.9240000247955322
68,Keraliou 2,2023-03-18T00:00:00,0.23579815030097961,0.15800000727176666,0.19949014,0.014000000432133675,0.9940000176429749
69,Keraliou 3,2019-02-21T00:00:00,0.22165557742118835,0.14400000870227814,0.18434447,0.02200000174343586,1.0260000228881836
70,Keraliou 3,2022-04-15T00:00:00,0.20633333921432495,0.14400000870227814,0.17857072,0.01600000075995922,1.0360000133514404
71,Keraliou 3,2023-03-18T00:00:00,0.2789824306964874,0.1860000044107437,0.22782898,0.020000001415610313,1.0860000848770142
72,Glenan 1,2019-02-19T00:00:00,1.0338881015777588,0.9080000519752502,0.536487,0.1600000113248825,2.742000102996826
73,Glenan 1,2022-03-26T00:00:00,1.0341565608978271,0.9250000715255737,0.5199932,0.18400001525878906,2.576000213623047
74,Glenan 1,2023-03-16T00:00:00,1.0902361869812012,0.8990000486373901,0.57591605,0.2580000162124634,3.2280001640319824
75,Glenan 3,2019-02-19T00:00:00,0.7130222320556641,0.6420000195503235,0.36669528,0.09400000423192978,1.790000081062317
76,Glenan 3,2022-03-26T00:00:00,0.7517611384391785,0.6820000410079956,0.3474884,0.15800000727176666,1.7940000295639038
77,Glenan 3,2023-03-16T00:00:00,0.7846954464912415,0.6800000071525574,0.38360268,0.20600001513957977,2.240000009536743
78,Camaret 2,2019-02-22T00:00:00,0.9137935638427734,0.8300000429153442,0.46385807,0.18000000715255737,2.3580000400543213
79,Camaret 2,2022-03-27T00:00:00,0.8779537677764893,0.7870000600814819,0.47528523,0.14600001275539398,2.2800002098083496
80,Camaret 2,2023-03-18T00:00:00,0.8927648663520813,0.7720000743865967,0.47234783,0.17800000309944153,2.7100000381469727
81,Molene 3,2019-02-22T00:00:00,1.0440194606781006,0.9960000514984131,0.5007353,0.20400001108646393,3.132000207901001
82,Molene 3,2022-03-27T00:00:00,1.1548130512237549,1.1380000114440918,0.4796707,0.23200000822544098,3.1580002307891846
83,Molene 3,2023-03-19T00:00:00,1.1132185459136963,1.0260000228881836,0.42591923,0.38600000739097595,2.942000150680542
84,Trevignon 3,2019-02-19T00:00:00,1.086686134338379,0.9460000395774841,0.60053355,0.1600000113248825,3.004000186920166
85,Trevignon 3,2022-03-25T00:00:00,1.0738381147384644,0.943000078201294,0.5652445,0.18000000715255737,2.7660000324249268
86,Trevignon 3,2023-03-16T00:00:00,1.1219102144241333,0.8630000352859497,0.69381166,0.18000000715255737,3.1440000534057617
87,Meaban 3,2019-02-20T00:00:00,0.6656269431114197,0.5820000171661377,0.3845931,0.11000000685453415,2.1700000762939453
88,Meaban 3,2022-03-24T00:00:00,0.6526361703872681,0.5740000009536743,0.33971015,0.12000000476837158,1.9500000476837158
89,Meaban 3,2023-03-15T00:00:00,0.6883611083030701,0.534000039100647,0.4072529,0.1380000114440918,2.436000108718872
