,point,date,uabr_mean,uabr_median,uabr_sd,uabr_min,uabr_max
49,Morlaix 2,2022-03-02T00:00:00,-0.15725462138652802,-0.12999999523162842,0.10691381990909576,-0.6299999952316284,-0.009999999776482582
50,Morlaix 2,2023-02-20T00:00:00,-0.10368980467319489,-0.08999999612569809,0.08026660233736038,-0.5199999809265137,0.0
51,Morlaix 3,2019-02-12T00:00:00,-0.10750462114810944,-0.08999999612569809,0.08375518023967743,-0.5,0.05999999865889549
52,Morlaix 3,2022-03-02T00:00:00,-0.15725462138652802,-0.12999999523162842,0.10691381990909576,-0.6299999952316284,-0.009999999776482582
53,Morlaix 3,2023-02-20T00:00:00,-0.10368980467319489,-0.08999999612569809,0.08026660233736038,-0.5199999809265137,0.0
54,Trevignon 1,2019-02-19T00:00:00,0.2274675816297531,0.19499999284744263,0.12527644634246826,0.04999999701976776,0.6499999761581421
55,Trevignon 1,2022-03-25T00:00:00,0.24795831739902496,0.22999998927116394,0.1352023482322693,0.04999999701976776,0.6100000143051147
56,Trevignon 1,2023-03-16T00:00:00,0.2531110942363739,0.2199999988079071,0.13726173341274261,0.029999999329447746,0.8799999952316284
57,Trevignon 2,2019-02-19T00:00:00,0.2274675816297531,0.19499999284744263,0.12527644634246826,0.04999999701976776,0.6499999761581421
58,Trevignon 2,2022-03-25T00:00:00,0.24795831739902496,0.22999998927116394,0.1352023482322693,0.04999999701976776,0.6100000143051147
59,Trevignon 2,2023-03-16T00:00:00,0.2531110942363739,0.2199999988079071,0.13726173341274261,0.029999999329447746,0.8799999952316284
60,Meaban 2,2019-02-20T00:00:00,0.14734722673892975,0.12999999523162842,0.07722831517457962,0.019999999552965164,0.3700000047683716
61,Meaban 2,2022-03-24T00:00:00,0.15375925600528717,0.14000000059604645,0.07973821461200714,0.009999999776482582,0.38999998569488525
62,Meaban 2,2023-03-15T00:00:00,0.13853240013122559,0.12999999523162842,0.06924743205308914,-0.019999999552965164,0.47999998927116394
63,Keraliou 1,2019-02-21T00:00:00,0.043611109256744385,0.03999999910593033,0.023652903735637665,0.009999999776482582,0.12999999523162842
64,Keraliou 1,2022-04-15T00:00:00,0.03525925800204277,0.029999999329447746,0.02264515683054924,0.0,0.17999999225139618
65,Keraliou 1,2023-03-18T00:00:00,0.044740740209817886,0.03999999910593033,0.028287991881370544,0.009999999776482582,0.17000000178813934
66,Keraliou 2,2019-02-21T00:00:00,0.05067592114210129,0.03999999910593033,0.02730836533010006,0.009999999776482582,0.14000000059604645
67,Keraliou 2,2022-04-15T00:00:00,0.041930556297302246,0.03999999910593033,0.026345720514655113,0.0,0.20999999344348907
68,Keraliou 2,2023-03-18T00:00:00,0.052004631608724594,0.03999999910593033,0.03278733417391777,0.009999999776482582,0.1899999976158142
69,Keraliou 3,2019-02-21T00:00:00,0.062541663646698,0.054999999701976776,0.03317703679203987,0.009999999776482582,0.17999999225139618
70,Keraliou 3,2022-04-15T00:00:00,0.05276388302445412,0.04999999701976776,0.032380830496549606,0.009999999776482582,0.25999999046325684
71,Keraliou 3,2023-03-18T00:00:00,0.06731944531202316,0.05999999865889549,0.04099785163998604,0.009999999776482582,0.23999999463558197
72,Glenan 1,2019-02-19T00:00:00,0.5184536576271057,0.429999977350235,0.3044050335884094,0.07999999821186066,1.6799999475479126
73,Glenan 1,2022-03-26T00:00:00,0.5717082619667053,0.5199999809265137,0.33012300729751587,0.11999999731779099,1.5199999809265137
74,Glenan 1,2023-03-16T00:00:00,0.5772684812545776,0.5,0.32021191716194153,0.11999999731779099,1.9499999284744263
75,Glenan 3,2019-02-19T00:00:00,0.17964813113212585,0.14999999105930328,0.10744363814592361,0.019999999552965164,0.6100000143051147
76,Glenan 3,2022-03-26T00:00:00,0.11068517714738846,0.09999999403953552,0.13911323249340057,-0.5999999642372131,0.5699999928474426
77,Glenan 3,2023-03-16T00:00:00,0.0790509283542633,0.09999999403953552,0.17767134308815002,-0.7699999809265137,0.5899999737739563
78,Camaret 2,2019-02-22T00:00:00,0.30235645174980164,0.25999999046325684,0.1824885904788971,0.04999999701976776,0.8899999856948853
79,Camaret 2,2022-03-27T00:00:00,0.332444429397583,0.28999999165534973,0.20346294343471527,0.04999999701976776,0.9599999785423279
80,Camaret 2,2023-03-18T00:00:00,0.3079490661621094,0.28999999165534973,0.16286015510559082,0.05999999865889549,1.149999976158142
81,Molene 3,2019-02-22T00:00:00,-0.08166666328907013,-0.07000000029802322,0.1537608653306961,-0.8499999642372131,0.4899999797344208
82,Molene 3,2022-03-27T00:00:00,-0.07323611527681351,-0.05999999865889549,0.18573735654354095,-0.8100000023841858,0.7099999785423279
83,Molene 3,2023-03-19T00:00:00,-0.03571758791804314,-0.029999999329447746,0.21133600175380707,-0.8899999856948853,0.6800000071525574
84,Trevignon 3,2019-02-19T00:00:00,0.25353240966796875,0.2150000035762787,0.14805302023887634,0.05999999865889549,0.7599999904632568
85,Trevignon 3,2022-03-25T00:00:00,0.2783795893192291,0.25999999046325684,0.15810734033584595,0.04999999701976776,0.7099999785423279
86,Trevignon 3,2023-03-16T00:00:00,0.25224071741104126,0.2199999988079071,0.1380012035369873,0.03999999910593033,0.8899999856948853
87,Meaban 3,2019-02-20T00:00:00,0.14734722673892975,0.12999999523162842,0.07722831517457962,0.019999999552965164,0.3700000047683716
88,Meaban 3,2022-03-24T00:00:00,0.15375925600528717,0.14000000059604645,0.07973821461200714,0.009999999776482582,0.38999998569488525
89,Meaban 3,2023-03-15T00:00:00,0.13853240013122559,0.12999999523162842,0.06924743205308914,-0.019999999552965164,0.47999998927116394
