,point,date,cur_mean,cur_median,cur_sd,cur_min,cur_max
18,Saint-Brieuc 2,2019-02-25T00:00:00,0.5629367232322693,0.565906286239624,0.2982109785079956,0.0,1.3882721662521362
19,Saint-Brieuc 2,2022-03-29T00:00:00,0.5237217545509338,0.5066555738449097,0.29860207438468933,0.022360678762197495,1.2184005975723267
20,Saint-Brieuc 2,2023-03-21T00:00:00,0.52595454454422,0.5124450922012329,0.292418509721756,0.022360678762197495,1.2156479358673096
21,Saint-Brieuc 3,2019-02-25T00:00:00,0.5271361470222473,0.5277310013771057,0.28426530957221985,0.009999999776482582,1.2712198495864868
22,Saint-Brieuc 3,2022-03-29T00:00:00,0.48159223794937134,0.46524184942245483,0.27667486667633057,0.01414213515818119,1.124010682106018
23,Saint-Brieuc 3,2023-03-21T00:00:00,0.48362189531326294,0.4709027111530304,0.2710796594619751,0.009999999776482582,1.1280514001846313
24,Belle-ile 1,2019-02-20T00:00:00,0.08087309449911118,0.08485281467437744,0.042284928262233734,0.0,0.19798989593982697
25,Belle-ile 1,2022-03-25T00:00:00,0.07619214802980423,0.07810249924659729,0.042154762893915176,0.0,0.16970562934875488
26,Belle-ile 1,2023-03-15T00:00:00,0.07522481679916382,0.07211102545261383,0.04112677276134491,0.0,0.16970562934875488
27,Belle-ile 2,2019-02-20T00:00:00,0.08087309449911118,0.08485281467437744,0.042284928262233734,0.0,0.19798989593982697
28,Belle-ile 2,2022-03-25T00:00:00,0.07619214802980423,0.07810249924659729,0.042154762893915176,0.0,0.16970562934875488
29,Belle-ile 2,2023-03-15T00:00:00,0.07522481679916382,0.07211102545261383,0.04112677276134491,0.0,0.16970562934875488
30,Belle-ile 3,2019-02-20T00:00:00,0.08087309449911118,0.08485281467437744,0.042284928262233734,0.0,0.19798989593982697
31,Belle-ile 3,2022-03-25T00:00:00,0.07619214802980423,0.07810249924659729,0.042154762893915176,0.0,0.16970562934875488
32,Belle-ile 3,2023-03-15T00:00:00,0.07522481679916382,0.07211102545261383,0.04112677276134491,0.0,0.16970562934875488
33,Camaret 1,2019-02-22T00:00:00,0.06245635822415352,0.060827624052762985,0.037186842411756516,0.0,0.17720045149326324
34,Camaret 1,2022-03-27T00:00:00,0.06005934998393059,0.05830951780080795,0.03334587812423706,0.0,0.13601469993591309
35,Camaret 1,2023-03-18T00:00:00,0.05968103185296059,0.05830951780080795,0.03250182420015335,0.0,0.13601469993591309
36,Camaret 3,2019-02-22T00:00:00,0.0444420725107193,0.041231054812669754,0.02617594599723816,0.0,0.13038405776023865
37,Camaret 3,2022-03-27T00:00:00,0.04309943690896034,0.041231054812669754,0.023042501881718636,0.0,0.10295629501342773
38,Camaret 3,2023-03-18T00:00:00,0.04275466129183769,0.041231054812669754,0.022366933524608612,0.0,0.10295629501342773
39,Molene 1,2019-02-22T00:00:00,0.49541202187538147,0.45110970735549927,0.23890696465969086,0.0,1.1853269338607788
40,Molene 1,2022-03-27T00:00:00,0.41973352432250977,0.39849719405174255,0.19076208770275116,0.08062257617712021,0.8700000047683716
41,Molene 1,2023-03-19T00:00:00,0.4182589650154114,0.40311288833618164,0.18516364693641663,0.09999999403953552,0.8609297275543213
42,Molene 2,2019-02-22T00:00:00,0.49541202187538147,0.45110970735549927,0.23890696465969086,0.0,1.1853269338607788
43,Molene 2,2022-03-27T00:00:00,0.41973352432250977,0.39849719405174255,0.19076208770275116,0.08062257617712021,0.8700000047683716
44,Molene 2,2023-03-19T00:00:00,0.4182589650154114,0.40311288833618164,0.18516364693641663,0.09999999403953552,0.8609297275543213
45,Morlaix 1,2019-02-12T00:00:00,0.28228846192359924,0.27586227655410767,0.15197943150997162,0.009999999776482582,0.7247068285942078
46,Morlaix 1,2022-03-02T00:00:00,0.2694137692451477,0.2617250382900238,0.15345564484596252,0.0,0.6370243430137634
47,Morlaix 1,2023-02-20T00:00:00,0.26566949486732483,0.25612494349479675,0.15214937925338745,0.0,0.6228964328765869
48,Morlaix 2,2019-02-12T00:00:00,0.09526568651199341,0.09055384993553162,0.05541137605905533,0.0,0.2507987320423126
49,Morlaix 2,2022-03-02T00:00:00,0.09048061817884445,0.08944271504878998,0.04547503963112831,0.009999999776482582,0.20248456299304962
50,Morlaix 2,2023-02-20T00:00:00,0.0896303802728653,0.08602324873209,0.044536247849464417,0.009999999776482582,0.19924859702587128
51,Morlaix 3,2019-02-12T00:00:00,0.09526568651199341,0.09055384993553162,0.05541137605905533,0.0,0.2507987320423126
52,Morlaix 3,2022-03-02T00:00:00,0.09048061817884445,0.08944271504878998,0.04547503963112831,0.009999999776482582,0.20248456299304962
53,Morlaix 3,2023-02-20T00:00:00,0.0896303802728653,0.08602324873209,0.044536247849464417,0.009999999776482582,0.19924859702587128
54,Trevignon 1,2019-02-19T00:00:00,0.04785666614770889,0.04472135752439499,0.01707332953810692,0.009999999776482582,0.11313708126544952
55,Trevignon 1,2022-03-25T00:00:00,0.04507646709680557,0.04242640733718872,0.015432382933795452,0.01414213515818119,0.08544003218412399
56,Trevignon 1,2023-03-16T00:00:00,0.04474055767059326,0.04242640733718872,0.014706861227750778,0.01414213515818119,0.08544003218412399
