,point,date,ucur_mean,ucur_median,ucur_sd,ucur_min,ucur_max
30,Belle-ile 3,2019-02-20T00:00:00,0.0009675925248302519,0.009999999776482582,0.06461594998836517,-0.14000000059604645,0.10999999940395355
31,Belle-ile 3,2022-03-25T00:00:00,5.5555552535224706e-05,0.0,0.06152232736349106,-0.11999999731779099,0.11999999731779099
32,Belle-ile 3,2023-03-15T00:00:00,8.333336154464632e-05,0.0,0.060540713369846344,-0.11999999731779099,0.11999999731779099
33,Camaret 1,2019-02-22T00:00:00,0.007430555298924446,0.0,0.02260817028582096,-0.029999999329447746,0.07000000029802322
34,Camaret 1,2022-03-27T00:00:00,1.851852357503958e-05,0.0,0.02100704424083233,-0.03999999910593033,0.03999999910593033
35,Camaret 1,2023-03-18T00:00:00,2.3148133550421335e-05,0.0,0.020877717062830925,-0.03999999910593033,0.03999999910593033
36,Camaret 3,2019-02-22T00:00:00,0.00548611069098115,0.0,0.02623160183429718,-0.03999999910593033,0.07000000029802322
37,Camaret 3,2022-03-27T00:00:00,-1.0348028857409819e-11,0.0,0.02492581494152546,-0.04999999701976776,0.04999999701976776
38,Camaret 3,2023-03-18T00:00:00,4.1666662582429126e-05,0.0,0.024633387103676796,-0.04999999701976776,0.04999999701976776
39,Molene 1,2019-02-22T00:00:00,0.16631944477558136,0.1599999964237213,0.1420498639345169,-0.1599999964237213,0.5199999809265137
40,Molene 1,2022-03-27T00:00:00,-0.00011574079690035433,0.0,0.11775851994752884,-0.22999998927116394,0.22999998927116394
41,Molene 1,2023-03-19T00:00:00,-0.00010648144962033257,0.0,0.11682543158531189,-0.22999998927116394,0.22999998927116394
42,Molene 2,2019-02-22T00:00:00,0.16631944477558136,0.1599999964237213,0.1420498639345169,-0.1599999964237213,0.5199999809265137
43,Molene 2,2022-03-27T00:00:00,-0.00011574079690035433,0.0,0.11775851994752884,-0.22999998927116394,0.22999998927116394
44,Molene 2,2023-03-19T00:00:00,-0.00010648144962033257,0.0,0.11682543158531189,-0.22999998927116394,0.22999998927116394
45,Morlaix 1,2019-02-12T00:00:00,-0.04665740579366684,-0.07999999821186066,0.2171780914068222,-0.4699999988079071,0.4599999785423279
