,point,date,fp_mean,fp_median,fp_sd,fp_min,fp_max
46,Morlaix 1,2022-03-02T00:00:00,0.09142593294382095,0.07600000500679016,0.04063485935330391,0.04800000041723251,0.34200000762939453
47,Morlaix 1,2023-02-20T00:00:00,0.10715463757514954,0.08100000023841858,0.07053577154874802,0.046000003814697266,0.7760000228881836
48,Morlaix 2,2019-02-12T00:00:00,0.09393379837274551,0.08100000023841858,0.04010628163814545,0.05000000074505806,0.30900001525878906
49,Morlaix 2,2022-03-02T00:00:00,0.08760463446378708,0.07500000298023224,0.035129789263010025,0.04800000041723251,0.3800000250339508
50,Morlaix 2,2023-02-20T00:00:00,0.10030185431241989,0.08000000566244125,0.06052286922931671,0.04500000178813934,0.7720000147819519
51,Morlaix 3,2019-02-12T00:00:00,0.09393379837274551,0.08100000023841858,0.04010628163814545,0.05000000074505806,0.30900001525878906
52,Morlaix 3,2022-03-02T00:00:00,0.08760463446378708,0.07500000298023224,0.035129789263010025,0.04800000041723251,0.3800000250339508
53,Morlaix 3,2023-02-20T00:00:00,0.10030185431241989,0.08000000566244125,0.06052286922931671,0.04500000178813934,0.7720000147819519
54,Trevignon 1,2019-02-19T00:00:00,0.096500463783741,0.08400000631809235,0.03674190491437912,0.05000000074505806,0.289000004529953
55,Trevignon 1,2022-03-25T00:00:00,0.0873337984085083,0.07600000500679016,0.036065299063920975,0.05000000074505806,0.30000001192092896
56,Trevignon 1,2023-03-16T00:00:00,0.08802500367164612,0.0820000022649765,0.028410831466317177,0.046000003814697266,0.2370000183582306
57,Trevignon 2,2019-02-19T00:00:00,0.096500463783741,0.08400000631809235,0.03674190491437912,0.05000000074505806,0.289000004529953
58,Trevignon 2,2022-03-25T00:00:00,0.0873337984085083,0.07600000500679016,0.036065299063920975,0.05000000074505806,0.30000001192092896
59,Trevignon 2,2023-03-16T00:00:00,0.08802500367164612,0.0820000022649765,0.028410831466317177,0.046000003814697266,0.2370000183582306
60,Meaban 2,2019-02-20T00:00:00,0.10451158136129379,0.0860000029206276,0.05347566306591034,0.055000003427267075,0.3760000169277191
61,Meaban 2,2022-03-24T00:00:00,0.09774954617023468,0.07900000363588333,0.05825408920645714,0.049000002443790436,0.3750000298023224
62,Meaban 2,2023-03-15T00:00:00,0.10198055952787399,0.08400000631809235,0.06103448569774628,0.04800000041723251,0.5240000486373901
63,Keraliou 1,2019-02-21T00:00:00,0.23206575214862823,0.17400000989437103,0.12998956441879272,0.06000000238418579,0.6540000438690186
64,Keraliou 1,2022-04-15T00:00:00,0.3132488429546356,0.19100001454353333,0.22370243072509766,0.049000002443790436,0.909000039100647
65,Keraliou 1,2023-03-18T00:00:00,0.30848002433776855,0.2985000014305115,0.19233821332454681,0.04700000211596489,0.8970000147819519
66,Keraliou 2,2019-02-21T00:00:00,0.22396111488342285,0.17100000381469727,0.12593887746334076,0.05700000375509262,0.6500000357627869
67,Keraliou 2,2022-04-15T00:00:00,0.277943879365921,0.17800000309944153,0.2021975964307785,0.049000002443790436,0.8840000629425049
68,Keraliou 2,2023-03-18T00:00:00,0.2892199754714966,0.2800000011920929,0.18269874155521393,0.04700000211596489,0.8940000534057617
69,Keraliou 3,2019-02-21T00:00:00,0.2173166573047638,0.1600000113248825,0.1298554539680481,0.05700000375509262,0.6640000343322754
70,Keraliou 3,2022-04-15T00:00:00,0.25455355644226074,0.16600000858306885,0.18876425921916962,0.049000002443790436,0.8360000252723694
71,Keraliou 3,2023-03-18T00:00:00,0.2664127051830292,0.19200000166893005,0.17224594950675964,0.04700000211596489,0.909000039100647
72,Glenan 1,2019-02-19T00:00:00,0.08848056197166443,0.08400000631809235,0.01995733007788658,0.05000000074505806,0.2150000035762787
73,Glenan 1,2022-03-26T00:00:00,0.08001019805669785,0.07700000703334808,0.017775215208530426,0.049000002443790436,0.20400001108646393
74,Glenan 1,2023-03-16T00:00:00,0.08698518574237823,0.08300000429153442,0.03322868049144745,0.04700000211596489,0.3920000195503235
75,Glenan 3,2019-02-19T00:00:00,0.09944074600934982,0.08400000631809235,0.04857945442199707,0.05000000074505806,0.40300002694129944
76,Glenan 3,2022-03-26T00:00:00,0.08676435798406601,0.07600000500679016,0.04093047231435776,0.049000002443790436,0.39900001883506775
77,Glenan 3,2023-03-16T00:00:00,0.08909444510936737,0.0820000022649765,0.040791332721710205,0.046000003814697266,0.41200003027915955
