,point,date,abr_mean,abr_median,abr_sd,abr_min,abr_max
19,Saint-Brieuc 2,2022-03-29T00:00:00,0.2667902112007141,0.22090721130371094,0.17524436116218567,0.029999999329447746,0.9972461462020874
20,Saint-Brieuc 2,2023-03-21T00:00:00,0.2102927565574646,0.18110769987106323,0.11857898533344269,0.029999999329447746,0.7382410764694214
21,Saint-Brieuc 3,2019-02-25T00:00:00,0.1861935555934906,0.1599999964237213,0.12343753129243851,0.019999999552965164,0.7306160926818848
22,Saint-Brieuc 3,2022-03-29T00:00:00,0.22595395147800446,0.18027755618095398,0.14993606507778168,0.029999999329447746,0.8620904684066772
23,Saint-Brieuc 3,2023-03-21T00:00:00,0.18174506723880768,0.1503329575061798,0.1040322557091713,0.029999999329447746,0.6203225255012512
24,Belle-ile 1,2019-02-20T00:00:00,0.2975793480873108,0.25019991397857666,0.1772448867559433,0.04999999701976776,0.8551023006439209
25,Belle-ile 1,2022-03-25T00:00:00,0.34041696786880493,0.3106445074081421,0.19154739379882812,0.03999999910593033,0.9124143123626709
26,Belle-ile 1,2023-03-15T00:00:00,0.3117670714855194,0.28160256147384644,0.16456283628940582,0.060827624052762985,1.0304367542266846
27,Belle-ile 2,2019-02-20T00:00:00,0.2975793480873108,0.25019991397857666,0.1772448867559433,0.04999999701976776,0.8551023006439209
28,Belle-ile 2,2022-03-25T00:00:00,0.34041696786880493,0.3106445074081421,0.19154739379882812,0.03999999910593033,0.9124143123626709
29,Belle-ile 2,2023-03-15T00:00:00,0.3117670714855194,0.28160256147384644,0.16456283628940582,0.060827624052762985,1.0304367542266846
30,Belle-ile 3,2019-02-20T00:00:00,0.2975793480873108,0.25019991397857666,0.1772448867559433,0.04999999701976776,0.8551023006439209
31,Belle-ile 3,2022-03-25T00:00:00,0.34041696786880493,0.3106445074081421,0.19154739379882812,0.03999999910593033,0.9124143123626709
32,Belle-ile 3,2023-03-15T00:00:00,0.3117670714855194,0.28160256147384644,0.16456283628940582,0.060827624052762985,1.0304367542266846
33,Camaret 1,2019-02-22T00:00:00,0.2806965410709381,0.23999999463558197,0.17563194036483765,0.04999999701976776,0.8620904684066772
34,Camaret 1,2022-03-27T00:00:00,0.31269028782844543,0.2607680857181549,0.19814713299274445,0.04999999701976776,0.9402127265930176
35,Camaret 1,2023-03-18T00:00:00,0.29120391607284546,0.27018511295318604,0.15958188474178314,0.05999999865889549,1.1104053258895874
36,Camaret 3,2019-02-22T00:00:00,0.30860453844070435,0.26391148567199707,0.18712067604064941,0.05099019408226013,0.9100549221038818
37,Camaret 3,2022-03-27T00:00:00,0.33752068877220154,0.2927456200122833,0.20714247226715088,0.04999999701976776,0.9749358892440796
38,Camaret 3,2023-03-18T00:00:00,0.3106323182582855,0.29154759645462036,0.16438010334968567,0.060827624052762985,1.164001703262329
39,Molene 1,2019-02-22T00:00:00,0.37291908264160156,0.3203902840614319,0.21975910663604736,0.06708204001188278,1.2001665830612183
40,Molene 1,2022-03-27T00:00:00,0.47572845220565796,0.4200595021247864,0.26484987139701843,0.07999999821186066,1.4805405139923096
41,Molene 1,2023-03-19T00:00:00,0.4103882908821106,0.3746330738067627,0.1819210946559906,0.11045360565185547,1.151564121246338
42,Molene 2,2019-02-22T00:00:00,0.37291908264160156,0.3203902840614319,0.21975910663604736,0.06708204001188278,1.2001665830612183
43,Molene 2,2022-03-27T00:00:00,0.47572845220565796,0.4200595021247864,0.26484987139701843,0.07999999821186066,1.4805405139923096
44,Molene 2,2023-03-19T00:00:00,0.4103882908821106,0.3746330738067627,0.1819210946559906,0.11045360565185547,1.151564121246338
45,Morlaix 1,2019-02-12T00:00:00,0.23818093538284302,0.19785872101783752,0.16735988855361938,0.019999999552965164,1.043455719947815
46,Morlaix 1,2022-03-02T00:00:00,0.29042449593544006,0.2294515073299408,0.20192785561084747,0.022360678762197495,1.2299998998641968
47,Morlaix 1,2023-02-20T00:00:00,0.21365278959274292,0.17262676358222961,0.15597999095916748,0.009999999776482582,0.8926925659179688
