NOM_SP;CHANGEMENTS;Habitat;METHOD_ECHANT;SITE;Origine;Commentaires
Planaria sp.;Platyhelminthes spp.;;;;Reunion 19/01/17;
Planaria sp1;Platyhelminthes spp.;;;;These Nolwenn;
Platyhelminthes sp.;Platyhelminthes spp.;;;;Reunion 19/01/17;
Platynereis coccinea;Platynereis dumerilii;;;;Reunion 25/05/20;
Podarkeopsis capensis;Podarkeopsis sp.;;;;Reunion 25/05/20;
Polititapes aureus;SUPPRIME;Herbiers Intertidaux;Haveneau;;Reunion 12/05/16;
Polititapes rhomboides;SUPPRIME;Herbiers Intertidaux;Haveneau;;M2;
Polycera faeroensis;Nudibranchia spp.;;;;Reunion 12/05/16;Herbiers Intertidaux
Polycera quadrilineata;Nudibranchia spp.;;;;Reunion 12/05/16;Herbiers Intertidaux
Polychaeta spp.;SUPPRIME;;;;Modif VLG 13/02/18;
Polycirrus;Polycirrus spp.;;;;Reunion 25/05/20;
Polycirrus arenivorus;Polycirrus spp.;;;;M2;Herbiers Intertidaux
Polycirrus aurantiacus;Polycirrus spp.;;;;Reunion 19/01/17;
Polycirrus denticulatus;Polycirrus spp.;;;;Modif VLG 13/02/18;
Polycirrus medusa;Polycirrus spp.;;;;Reunion 19/01/17;
Polycirrus sp.;Polycirrus spp.;;;;Reunion 19/01/17;
Polycirrus sp1;Polycirrus spp.;;;;Reunion 19/01/17;
Polycirrus sp2;Polycirrus spp.;;;;Reunion 19/01/17;
Polycirrus spp.;SUPPRIME;Herbiers Intertidaux;Haveneau;;M2;
Polycirrus tenuisetis;Polycirrus spp.;;;;Reunion 19/01/17;
Polydora;Polydora spp.;;;;Reunion 25/05/20;
Polydora ciliata;Polydora spp.;;;;Reunion 19/01/17;
Polydora hoplura;Polydora spp.;;;;Reunion 19/01/17;Changements de la taxo en 2012 Radachevsky
Polydora sp.;Polydora spp.;;;;Reunion 19/01/17;
Polydora spp.;SUPPRIME;Herbiers Intertidaux;Haveneau;;M2;
Polygordius sp.;Polygordius lacteus;;;;Reunion 20/02/17;
Polynoidae sp.;SUPPRIME;;;;Reunion 20/02/17;
Pomatoceros sp.;Spirobranchus spp.;;;;Modif 01/02/18;
Pomatoschistus minutus;SUPPRIME;;Benne;;Post-Reunion 19/01/17;
Pomatoschistus pictus;SUPPRIME;;Carotte;;Post-Reunion 19/01/17;
Pomatoschistus sp.;Pomatoschistus minutus;;;;M2;Herbiers Intertidaux
Pontocrates sp.;Pontocrates altamarinus;;;;Reunion 20/02/17;
Porifera sp.;Porifera spp.;;;;Reunion 20/02/17;
Portunidae sp.;SUPPRIME;;;;M2;Herbiers Intertidaux
Praunus sp.;Praunus flexuosus;;;;These Nolwenn;Intertidal Meuble
Praxillella affinis;Maldanidae spp.;;;;Post-Reunion 19/01/17;
Praxillella gracilis;Maldanidae spp.;;;;Post-Reunion 19/01/17;
Praxillella praetermissa;Maldanidae spp.;;;;Post-Reunion 19/01/17;
Prionospio cirrifera;Prionospio spp.;;;;Reunion 19/01/17;
Prionospio fallax;Prionospio spp.;;;;Reunion 19/01/17;
Prionospio malmgreni;Prionospio spp.;;;;Reunion 19/01/17;
Prionospio multibranchiata;Prionospio spp.;;;;Reunion 19/01/17;
Prionospio pulchra;Prionospio spp.;;;;Reunion 19/01/17;
Prionospio sp.;Prionospio spp.;;;;Reunion 19/01/17;
Prionospio sp1;Prionospio spp.;;;;Reunion 19/01/17;
Prionospio spp.;SUPPRIME;Herbiers Intertidaux;Haveneau;;M2;
Prionospio steenstrupi;Prionospio spp.;;;;Reunion 19/01/17;
Proceraea aurantiaca;Syllidae spp.;;;;Reunion 20/02/17;
Processa canaliculata;Processa spp.;;;;Post-Reunion 19/01/17;
Processa edulis crassipes;Processa spp.;;;;Post-Reunion 19/01/17;
Processa edulis edulis;Processa spp.;;;;Reunion 25/05/20;
Processa nouveli holthuisi;Processa spp.;;;;Post-Reunion 19/01/17;Caro confirme que ce n'est pas du Crassipes mais pb de cle d'identification
Processa sp.;Processa spp.;;;;Post-Reunion 19/01/17;
Proclea graffii;Terebellidae spp.;;;;Reunion 20/02/17;
Proclymene muelleri;Maldanidae spp.;;;;M2;Herbiers Intertidaux et Intertidal Meuble
Pseudocuma (Pseudocuma) longicorne;Pseudocuma (Pseudocuma) simile;;;;M2;Herbiers Intertidaux
Pseudopolydora antennata;Polydora spp.;;;;Reunion 19/01/17;
Pseudopolydora pulchra;Polydora spp.;;;;Reunion 19/01/17;
Pseudopotamilla reniformis;Sabellidae spp.;;;;Modif pre-tri MA 2013;Espece ajoutee lors de l'ajout des complements des pre-tri de maerl 2013 dans la base
Pusillina sp.;Pusillina inconspicua;;;;Reunion 25/05/20;
Pyura sp.;Pyura spp.;;;;Reunion 19/01/17;
Pyura squamulosa;Pyura spp.;;;;Modif VLG 13/02/18;
Pyura tessellata;Pyura spp.;;;;Reunion 19/01/17;
Raphitoma leufroyi;Leufroyia leufroyi;;;;Correction 04/02/20;Actualisation du nom dans worms
Raphitoma linearis;Cyrillia linearis;;;;Correction 04/02/20;Actualisation du nom dans worms
Raspailia (Clathriodendron) hispida;Porifera spp.;;;;Reunion 20/02/17;
Rissoa sp.;Rissoa parva;;;;Reunion 19/01/17;
Rissoidae sp.;Rissoa parva;;;;Reunion 20/02/17;
Ruditapes sp.;Ruditapes philippinarum;;;;Reunion 25/05/20;
Sabella sp.;Sabella pavonina;;;;Reunion 19/01/17;
Sabellidae sp.;Sabellidae spp.;;;;Reunion 19/01/17;
Sabellidae sp1;Sabellidae spp.;;;;Reunion 19/01/17;
Saccocirrus papillocercus;SUPPRIME;;;;Reunion 20/02/17;
Sagartia sp.;SUPPRIME;;;;Reunion 25/05/20;
Schizoporella sp.;SUPPRIME;;;;Reunion 25/05/20;
Scolelepis (Parascolelepis) tridentata;Scolelepis spp.;;;;Reunion 19/01/17;
Scolelepis (Scolelepis) cantabra;Scolelepis spp.;;;;Reunion 19/01/17;
Scolelepis (Scolelepis) foliosa;Scolelepis spp.;;;;M2/These Nolwenn;
Scolelepis (Scolelepis) squamata;Scolelepis spp.;;;;Reunion 19/01/17;
Scolelepis bonnieri;Scolelepis spp.;;;;M2;Herbiers Intertidaux
Scolelepis mesnili;Scolelepis spp.;;;;Reunion 12/05/16;Intertidal Meuble
Scolelepis sp.;Scolelepis spp.;;;;Reunion 19/01/17;
Scoletoma fragilis;Scoletoma spp.;;;;Reunion 19/01/17;
Scoletoma funchalensis;Scoletoma spp.;;;;Reunion 19/01/17;
Scoletoma impatiens;Scoletoma spp.;;;;Reunion 19/01/17;
Scoloplos armiger;Scoloplos (Scoloplos) armiger;;;;Reunion 25/05/20;
Serpula spp.;Serpula vermicularis;;;;Reunion 20/02/17;
Sessilia spp.;SUPPRIME;;;;Modif VLG 13/02/18;
Sigalion sp.;Sigalion mathildae;;;;Reunion 19/01/17;
Sigalion squamosus;Sigalion mathildae;;;;Reunion 19/01/17;
Siphonoecetes;Siphonoecetes sp.;;;;Reunion 25/05/20;
Siphonoecetes (Centraloecetes) kroyeranus;Centraloecetes kroyeranus;;;;Modif VLG 13/02/18;
Siphonoecetes sabatieri;Siphonoecetes sp.;;;;Reunion 25/05/20;
Siphonoecetes striatus;Centraloecetes kroyeranus;;;;Reunion 20/02/17;
Sipunculidae spp.;SUPPRIME;;;;Reunion 20/02/17;
Sipunculus (sipunculus) nudus;Sipunculus (Sipunculus) nudus;;;;Reunion 25/05/20;
Siriella clausii;Mysida spp.;;;;Reunion 19/01/17;
Siriella jaltensis;Mysida spp.;;;;Verif 18/03/17;
Socarnes filicornis;Socarnes erythrophthalmus;;;;Reunion 20/02/17;
Socarnes sp.;Socarnes erythrophthalmus;;;;Reunion 20/02/17;
Solea solea;Solea spp.;;;;Reunion 19/01/17;
Solea sp.;Solea spp.;;;;M2;Herbiers Intertidaux
Solen sp.;Solen marginatus;;;;Reunion 20/02/17;
Solenogastres sp.;SUPPRIME;;;;Reunion 20/02/17;
Spanioplon armaturum;Porifera spp.;;;;Reunion 20/02/17;
Sphaerodoropsis minuta;Sphaerodoridae spp.;;;;Reunion 19/01/17;
Sphaerodorum gracilis;Sphaerodoridae spp.;;;;Reunion 19/01/17;
Sphaerodorum sp.;Sphaerodoridae spp.;;;;Reunion 19/01/17;
Sphaerodorum sp1;Sphaerodoridae spp.;;;;Reunion 19/01/17;
Sphaerosyllis glandulata;Sphaerosyllis spp.;;;;Modif VLG 13/02/18;
Sphaerosyllis hystrix;Sphaerosyllis spp.;;;;Verif 18/03/17;Avant la verif : change que dans MA
Sphaerosyllis ovigera;Sphaerosyllis spp.;;;;Reunion 19/01/17;
Sphaerosyllis sp.;Sphaerosyllis spp.;;;;Reunion 19/01/17;
Sphaerosyllis sp1;Sphaerosyllis spp.;;;;Reunion 19/01/17;
Sphaerosyllis sp2;Sphaerosyllis spp.;;;;Reunion 19/01/17;
Sphaerosyllis sp3;Sphaerosyllis spp.;;;;Reunion 19/01/17;
Sphaerosyllis taylori;Sphaerosyllis spp.;;;;Reunion 25/05/20;
Spio;Spio spp.;;;;Reunion 25/05/20;
Spio arndti;Spio spp.;;;;Reunion 19/01/17;
Spio cf. decoratus;Spio spp.;;;;Reunion 19/01/17;
Spio decorata;Spio spp.;;;;Reunion 25/05/20;
Spio decoratus;Spio spp.;;;;Reunion 19/01/17;
Spio filicornis;Spio spp.;;;;Reunion 19/01/17;
Spio martinensis;Spio spp.;;;;Reunion 19/01/17;
Spio sp.;Spio spp.;;;;Reunion 19/01/17;
Spio sp1;Spio spp.;;;;Reunion 12/05/16;
Spio spp.;SUPPRIME;Herbiers Intertidaux;Haveneau;;M2;
Spio symphyta;Spio spp.;;;;Reunion 19/01/17;
Spiochaetopterus costarum;Spiochaetopterus spp.;;;;Reunion 25/05/20;
Spiochaetopterus solitarius;Spiochaetopterus spp.;;;;Reunion 25/05/20;
Spiochaetopterus sp.;Spiochaetopterus spp.;;;;Correction 30/01/18;
Spiochaetopterus typicus;Spiochaetopterus spp.;;;;Modif VLG 13/02/18;
Spionidae sp.;Spionidae spp.;;;;Reunion 19/01/17;
Spionidae spp.;SUPPRIME;;;;Post-reunion 19/01/17;
Spiophanes kroyeri;Spiophanes bombyx;;;;These Nolwenn;Intertidal Meuble
Spiophanes sp.;Spiophanes bombyx;;;;Post-reunion 19/01/17;
Spirobranchus lamarcki;Spirobranchus spp.;;;;Reunion 19/01/17;
Spirobranchus sp.;Spirobranchus spp.;;;;Reunion 25/05/20;
Spirobranchus triqueter;Spirobranchus spp.;;;;Reunion 19/01/17;Tous les changements HI & IM en triqueter
Spisula;Spisula subtruncata;;;;Reunion 25/05/20;
Spisula sp.;Spisula subtruncata;;;;Reunion 20/02/17;
Stenothoe crassicornis;Stenothoe spp.;;;;M2;Herbiers Intertidaux
Stenothoe marina;Stenothoe spp.;;;;M2;Herbiers Intertidaux & Intertidal meuble
Stenothoe monoculoides;Stenothoe spp.;;;;Reunion 12/05/16;Herbiers Intertidaux
Stenothoe sp.;Stenothoe spp.;;;;Reunion 12/05/16;Herbiers Intertidaux
Stenothoidae sp.;Stenothoe spp.;;;;Reunion 12/05/16;Herbiers Intertidaux
Sthenelais limicola;Sthenelais boa;;;;These Nolwenn;IM & MA & SM
Streptosyllis varians;Syllidae spp.;;;;Reunion 20/02/17;
Styela sp.;Styela clava;;;;M2;Herbiers Intertidaux
Suberites sp.;Suberites ficus;;;;M2;Herbiers Intertidaux
Suberitidae sp.;Suberites ficus;;;;Reunion 19/01/17;
Sunamphitoe pelagica;SUPPRIME;Bancs de Maerl;;;Post-reunion 19/01/17;
Sunamphitoe pelagica;SUPPRIME;Herbiers Intertidaux;Carotte;;M2;
Sycon;Sycon ciliatum;;;;Reunion 25/05/20;
Syllidae;Syllidae spp.;;;;;
Syllidae sp.;Syllidae spp.;;;;Reunion 19/01/17;
Syllides;Syllides spp.;;;;Reunion 25/05/20;
Syllides benedicti;Syllides spp.;;;;Reunion 19/01/17;
Syllides sp.;Syllides spp.;;;;Reunion 19/01/17;
Syllis alternata;Syllis spp.;;;;Post-Reunion 19/01/17;
Syllis amica;Syllis spp.;;;;Post-Reunion 19/01/17;
Syllis armillaris;Syllis spp.;;;;Post-Reunion 19/01/17;
Syllis columbretensis;Syllis spp.;;;;Modif pre-tri MA 2013;Espece qui apparait en 2012 en Rade et sur laquelle Vincent n'est pas sûr des distinctions et de si elle a pu être loupee avant
Syllis cornuta;Syllis garciai;;;;Reunion 19/01/17;
Syllis cruzi;Syllis spp.;;;;Post-Reunion 19/01/17;
Syllis krohni;Syllis krohnii;;;;Reunion 25/05/20;
Syllis licheri;Syllis spp.;;;;Reunion 19/01/17;
Syllis parapari;Syllis spp.;;;;Post-Reunion 19/01/17;
syllis parapari;Syllis spp.;;;;Reunion 25/05/20;
Syllis pontxioi;Syllis spp.;;;;Post-Reunion 19/01/17;
Syllis prolifera;Syllis spp.;;;;Reunion 19/01/17;
Syllis sp.;Syllis spp.;;;;Reunion 19/01/17;
Syllis sp1;Syllis spp.;;;;Reunion 19/01/17;
Syllis torquata;Syllis spp.;;;;Reunion 19/01/17;
Synmerosyllis lamelligera;Syllidae spp.;;;;Reunion 20/02/17;
Tanaopsis graciloides;Tanaidacea spp.;;;;Reunion 19/01/17;
Tapes sp.;Ruditapes philippinarum;;;;Reunion 12/05/16;Herbiers Intertidaux & Intertidal meuble
Taurulus bubalis;SUPPRIME;;Carotte;;Post-reunion 19/01/17;
Taurulus bubalis;SUPPRIME;;Benne;;Post-reunion 19/01/17;
Tellimya ferruginosa;Kurtiella bidentata;;;;Reunion 19/01/17;
Tellina sp.;Tellinidae spp.;;;;Reunion 19/01/17;
Tellinidae;Tellinidae spp.;;;;Reunion 25/05/20;
Terebellides gralli;Terebellides spp.;;;;Reunion 25/05/20;
Terebellides resomari;Terebellides spp.;;;;Reunion 25/05/20;
Terebellides sp.;Terebellides spp.;;;;Reunion 19/01/17;
Terebellides sp2;Terebellides spp.;;;;Modif 31/01/18;
Terebellides stroemii;Terebellides spp.;;;;Reunion 19/01/17;
Tergipedidae sp.;Nudibranchia spp.;;;;Reunion 20/02/17;
Tergipes tergipes;Nudibranchia spp.;;;;Reunion 20/02/17;
Testudinalia testudinalis;Tectura virginea;;;;Reunion 20/02/17;
Tethya aurantium;Tethya citrina;;;;Reunion 25/05/20;
Tetrastemma herouardi;Tetrastemma spp.;;;;Reunion 25/05/20;
Tetrastemma melanocephalum;Tetrastemma spp.;;;;Reunion 25/05/20;
Tetrastemma sp.;Tetrastemma spp.;;;;Reunion 25/05/20;
Thalassema thalassemum;Thalassema thalassema;;;;Modif 01/02/18;
Tharyx;Cirratulidae spp.;;;;Reunion 25/05/20;
Tharyx sp.;Cirratulidae spp.;;;;Reunion 19/01/17;
Thelepus cincinnatus;Thelepus spp.;;;;Reunion 19/01/17;
Thelepus setosus;Thelepus spp.;;;;Reunion 19/01/17;
Thelepus sp.;Thelepus spp.;;;;Reunion 19/01/17;
thracia phaseolina;Thracia phaseolina;;;;Reunion 25/05/20;
Thyasira sp.;Thyasira flexuosa;;;;Reunion 20/02/17;
Thyone fusus;SUPPRIME;Herbiers Intertidaux;Haveneau;;M2;
Thyone sp.;Thyone fusus;;;;Reunion 19/01/17;
Tmetonyx cicada;Uristidae spp.;;;;Post-Reunion 19/01/17;MA
Tmetonyx similis;Uristidae spp.;;;;M2;Herbiers Intertidaux
Tonicella rubra;Boreochiton ruber;;;;Modif VLG 13/02/18;
Travisia forbesi;Travisia forbesii;;;;Correction 11/05/20;Actualisation du nom dans worms
Trophonopsis muricatus;Trophonopsis muricata;;;;Modif 01/02/18;
Trypanosyllis sp.;Trypanosyllis (Trypanosyllis) coeliaca;;;;M2;
Tryphosella minima;Tryphosella sp.;;;;Reunion 25/05/20;
Tubificoides benedii;Oligochaeta spp.;;;;Reunion 12/05/16;
Tubificoides pseudogaster agg.;Tubificoides pseudogaster spp.;;;;Reunion 25/05/20;
Tubulanus sp.;Tubulanus polymorphus;;;;Reunion 19/01/17;
Tubulanus superbus;Tubulanus polymorphus;;;;Reunion 25/05/20;
Tubulariidae spp.;SUPPRIME;;;;Reunion 25/05/20;
Tubuliporidae spp.;SUPPRIME;;;;Reunion 25/05/20;
Turbonilla lactea;Turbonilla spp.;;;;Reunion 19/01/17;
Turbonilla sp.;Turbonilla spp.;;;;Reunion 19/01/17;
Turritella communis;Turritellinella tricarinata;;;;Correction 04/02/20;Actualisation du nom dans worms
Turritella terebra;Turritellinella tricarinata;;;;Reunion 25/05/20;
Upogebia sp.;Upogebia deltaura;;;;Reunion 20/02/17;
Urothoe grimaldii;Urothoe poseidonis;;;;Reunion 12/05/16;Herbiers Intertidaux & Intertidal meuble
Veneridae sp1;SUPPRIME;;;;Reunion 20/02/17;
Veneridae spp.;SUPPRIME;;;;Reunion 20/02/17;
Venerupis corrugata;SUPPRIME;Herbiers Intertidaux;Haveneau;;M2;
Venus casina;Venus verrucosa;Intertidal Meuble;;;These Nolwenn;On laisse la fusion qu'en intertidal car venus casina : espece profonde
Venus casina;Venus verrucosa;Herbiers Intertidaux;;;Reunion 12/05/16;On laisse la fusion qu'en intertidal car venus casina : espece profonde
Venus sp.;Chamelea striatula;;;;Reunion 20/02/17;
Verruca stroemia;Sessilia spp.;;;;M2;Herbiers Intertidaux
 Antalis vulgaris;Antalis vulgaris;;;;Reunion 25/05/20;
Phallusia mamilata;Phallusia mammillata;;;;Correction 25/01/21;
Hiatella artica;Hiatella arctica;;;;Correction 25/01/21;
Gamarella fucicola;Gammarella fucicola;;;;Correction 25/01/21;
Ocinebrillus inornatus;Ocinebrellus inornatus;;;;Correction 25/01/21;
Gibbula albida;Steromphala albida;;;;Correction 25/01/21;Actualisation du nom dans worms
Corbula gibba;Varicorbula gibba;;;;Correction 25/01/21;Actualisation du nom dans worms
Gibbula tumida;Steromphala tumida;;;;Correction 25/01/21;Actualisation du nom dans worms
Leptopentacta elongata;Paraleptopentacta elongata;;;;Correction 25/01/21;Actualisation du nom dans worms
Macropodia parva;Macropodia rostrata;;;;Correction 25/01/21;Actualisation du nom dans worms
Opisthobranchia spp.;Heterobranchia spp.;;;;Correction 25/01/21;Actualisation du nom dans worms
Paramphitrite tetrabranchia;Amphitrite birulai;;;;Correction 25/01/21;Actualisation du nom dans worms
 Abra segmentum;Abra segmentum;;;;Correction 10/01/2022;
Euspira pulchella;Euspira nitida;;;;Correction 10/01/2022;Actualisation du nom dans worms
Actiniaria;Actiniaria spp.;;;;Correction 10/01/2022;
Acromegalomma sp.;Acromegalomma spp.;;;;Correction 10/01/2022;
Acrocnida sp.;Acrocnida spp.;;;;Correction 10/01/2022;
Platyhelminthes;Platyhelminthes spp.;;;;Correction 10/01/2022;
Nudibranchia;Nudibranchia spp.;;;;Correction 10/01/2022;
Maldanidae;Maldanidae spp.;;;;Correction 10/01/2022;
Thelepus;Thelepus spp.;;;;Correction 10/01/2022;
echinocyamus pusillus;Echinocyamus pusillus;;;;Correction 10/01/2022;
malacoceros;Malacoceros spp.;;;;Correction 10/01/2022;
Thalassema sp.;Thalassema thalassema;;;;Correction 12/01/2022;
Eunice woodwardi;Eunice vittata;;;;Correction 12/01/2022;
Notophyllum sp.;Notophyllum foliosum;;;;Correction 12/01/2022;
Ephesiella sp.;Sphaerodoridae spp.;;;;Correction 12/01/2022;
Sabellidae;Sabellidae spp.;;;;Correction 12/01/2022;
Laonice irinae;Laonice bahusiensis;;;;Correction 12/01/2022;
Ampharetidae;Ampharete spp.;;;;Correction 12/01/2022;
Chaetozone setosa;Chaetozone spp.;;;;Correction 12/01/2022;
Diplocirrus stopbowitzi;Diplocirrus glaucus;;;;Correction 12/01/2022;
Amphitrite;Amphitrite spp.;;;;Correction 12/01/2022;
Pista sauriaui;Pista spp.;;;;Correction 12/01/2022;
Polycirrus catalanensis;Polycirrus spp.;;;;Correction 12/01/2022;
Terebellidae;Terebellidae spp.;;;;Correction 12/01/2022;
Terebellides gentili;Terebellides spp.;;;;Correction 12/01/2022;
Notomastus sp.;Notomastus latericeus;;;;Correction 12/01/2022;
Copepoda;SUPPRIME;;;;Correction 12/01/2022;
Haploops gascogni;Haploops nirae;;;;Correction 12/01/2022;
Haploops sp.;Haploops nirae;;;;Correction 12/01/2022;
Ischyroceridae;SUPPRIME;;;;Correction 12/01/2022;
Idunella dentipalma;Idunella sp.;;;;Correction 12/01/2022;
Iphinoe inermis;Iphinoe spp.;;;;Correction 12/01/2022;
Galathea sp.;SUPPRIME;;;;Correction 12/01/2022;
Gnathiidae;Gnathiidae sp.;;;;Correction 12/01/2022;
Anchialina agilis;SUPPRIME;;;;Correction 12/01/2022;
Haplostylus lobatus;SUPPRIME;;;;Correction 12/01/2022;
Heteromysis (Heteromysis) armoricana;Heteromysis sp.;;;;Correction 12/01/2022;
Mesopodopsis slabberi;SUPPRIME;;;;Correction 12/01/2022;
Paramysis arenosa;Paramysis sp.;;;;Correction 12/01/2022;
Leptocheliidae;Chondrochelia savignyi;;;;Correction 12/01/2022;
Leptognathiidae;Tanaidacea spp.;;;;Correction 12/01/2022;
Ostracoda;SUPPRIME;;;;Correction 12/01/2022;
Sagitta sp.;SUPPRIME;;;;Correction 12/01/2022;
Symphodus bailloni;Symphodus melops;;;;Correction 12/01/2022;
Labridae;Labridae spp.;;;;Correction 12/01/2022;
Gobiidae;SUPPRIME;;;;Correction 12/01/2022;
Didemnidae;SUPPRIME;;;;Correction 12/01/2022;
Halcampidae;Halcampa spp.;;;;Correction 12/01/2022;
Hormathia sp.;Actiniaria spp.;;;;Correction 12/01/2022;
Hormathiidae;Actiniaria spp.;;;;Correction 12/01/2022;
Lutraria oblonga;Lutraria lutraria;;;;Correction 12/01/2022;
Sepiola sp.;Sepiola atlantica;;;;Correction 12/01/2022;
Melanella sp.;SUPPRIME;;;;Correction 12/01/2022;
Littorina sp.;Littorina obtusata;;;;Correction 12/01/2022;
Tritia varicosa;Tritia pygmaea;;;;Correction 12/01/2022;
Nematoda;SUPPRIME;;;;Correction 12/01/2022;
Leptoplanidae;Platyhelminthes spp.;;;;Correction 12/01/2022;
Myxilla (Myxilla) rosacea;Myxilla sp.;;;;Correction 12/01/2022;
Suberites pagurorum;SUPPRIME;;;;Correction 12/01/2022;
Vorticella pulchella;SUPPRIME;;;;Correction 12/01/2022;
Tanaidacea;Tanaidacea spp.;;;;Correction 11/07/2022;
Phyllodocidae;Phyllodocidae spp.;;;;Correction 11/07/2022;
Porifera;Porifera spp.;;;;Correction 11/07/2022;
Cumacea;Cumacea spp.;;;;Correction 11/07/2022;
Lumbrineridae;Lumbrineridae spp.;;;;Correction 11/07/2022;
