,point,date,vabr_mean,vabr_median,vabr_sd,vabr_min,vabr_max
60,Meaban 2,2019-02-20T00:00:00,0.2222638726234436,0.1899999976158142,0.12050747126340866,0.04999999701976776,0.5899999737739563
61,Meaban 2,2022-03-24T00:00:00,0.24405093491077423,0.22999998927116394,0.1275177001953125,0.03999999910593033,0.5600000023841858
62,Meaban 2,2023-03-15T00:00:00,0.24771295487880707,0.22999998927116394,0.1256396621465683,0.05999999865889549,0.7699999809265137
63,Keraliou 1,2019-02-21T00:00:00,0.003041666466742754,0.0,0.004977553617209196,-0.009999999776482582,0.029999999329447746
64,Keraliou 1,2022-04-15T00:00:00,0.0031435182318091393,0.0,0.005089727696031332,-0.019999999552965164,0.019999999552965164
65,Keraliou 1,2023-03-18T00:00:00,0.0043750000186264515,0.0,0.006271490827202797,-0.009999999776482582,0.029999999329447746
66,Keraliou 2,2019-02-21T00:00:00,0.0017222220776602626,0.0,0.004839714616537094,-0.009999999776482582,0.029999999329447746
67,Keraliou 2,2022-04-15T00:00:00,0.00064814806682989,0.0,0.0036699853371828794,-0.019999999552965164,0.019999999552965164
68,Keraliou 2,2023-03-18T00:00:00,0.003069444326683879,0.0,0.00533808721229434,-0.009999999776482582,0.029999999329447746
69,Keraliou 3,2019-02-21T00:00:00,0.005685185082256794,0.009999999776482582,0.006039450876414776,0.0,0.04999999701976776
70,Keraliou 3,2022-04-15T00:00:00,0.004023147281259298,0.0,0.005525146145373583,-0.019999999552965164,0.029999999329447746
71,Keraliou 3,2023-03-18T00:00:00,0.006245370488613844,0.009999999776482582,0.00698708975687623,-0.009999999776482582,0.04999999701976776
72,Glenan 1,2019-02-19T00:00:00,-0.13811573386192322,-0.10999999940395355,0.10551204532384872,-0.6200000047683716,0.029999999329447746
73,Glenan 1,2022-03-26T00:00:00,-0.20461110770702362,-0.17999999225139618,0.12351951748132706,-0.6499999761581421,-0.019999999552965164
74,Glenan 1,2023-03-16T00:00:00,-0.15869444608688354,-0.12999999523162842,0.10545913130044937,-0.6899999976158142,0.019999999552965164
75,Glenan 3,2019-02-19T00:00:00,0.06626851111650467,0.04999999701976776,0.11929678916931152,-0.23999999463558197,0.550000011920929
76,Glenan 3,2022-03-26T00:00:00,0.18243518471717834,0.1599999964237213,0.17575180530548096,-0.5099999904632568,0.6699999570846558
77,Glenan 3,2023-03-16T00:00:00,0.18112961947917938,0.1599999964237213,0.1453903466463089,-0.29999998211860657,0.8499999642372131
78,Camaret 2,2019-02-22T00:00:00,-0.06081018224358559,-0.04999999701976776,0.04279625415802002,-0.20999999344348907,-0.009999999776482582
79,Camaret 2,2022-03-27T00:00:00,-0.05749073624610901,-0.04999999701976776,0.040082089602947235,-0.19999998807907104,0.0
80,Camaret 2,2023-03-18T00:00:00,-0.040111105889081955,-0.03999999910593033,0.023416252806782722,-0.1899999976158142,0.0
81,Molene 3,2019-02-22T00:00:00,-0.28813424706459045,-0.25999999046325684,0.27208366990089417,-1.1999999284744263,0.8999999761581421
82,Molene 3,2022-03-27T00:00:00,-0.35487037897109985,-0.32999998331069946,0.3614804446697235,-1.4800000190734863,0.7599999904632568
83,Molene 3,2023-03-19T00:00:00,-0.18595370650291443,-0.23999999463558197,0.3478453755378723,-1.149999976158142,0.6599999666213989
84,Trevignon 3,2019-02-19T00:00:00,0.21514351665973663,0.17000000178813934,0.14615434408187866,0.03999999910593033,0.8100000023841858
85,Trevignon 3,2022-03-25T00:00:00,0.25297221541404724,0.22999998927116394,0.16133947670459747,0.03999999910593033,0.75
86,Trevignon 3,2023-03-16T00:00:00,0.25886574387550354,0.20999999344348907,0.1696454882621765,0.03999999910593033,1.0
87,Meaban 3,2019-02-20T00:00:00,0.2222638726234436,0.1899999976158142,0.12050747126340866,0.04999999701976776,0.5899999737739563
88,Meaban 3,2022-03-24T00:00:00,0.24405093491077423,0.22999998927116394,0.1275177001953125,0.03999999910593033,0.5600000023841858
89,Meaban 3,2023-03-15T00:00:00,0.24771295487880707,0.22999998927116394,0.1256396621465683,0.05999999865889549,0.7699999809265137
